Key,en,es,ar
enter The OTP CodeSendTo,enter The OTP CodeSendTo,ingrese el código OTPEnviar a,أدخل رمز OTPSendTo
verified Code,verified Code,Código verificado,رمز التحقق
submit,submit,entregar,يُقدِّم
oTP Verification,oTP Verification,Verificación OTP,التحقق من OTP
two Fa Verification,two Fa Verification,dos verificación del Fa,اثنين فا التحقق
email Verification,email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
resend,resend,reenviar,إعادة إرسال
new Password,new Password,Nueva contraseña,كلمة المرور الجديدة
confirm Password,confirm Password,confirmar Contraseña,تأكيد كلمة المرور
enter,enter,ingresar,يدخل
reset Password,reset Password,restablecer la contraseña,إعادة تعيين كلمة المرور
congratulation,congratulation,felicitaciones,تهنئة
create Account,create Account,crear una cuenta,إنشاء حساب
okay,okay,bueno,تمام
transfer,transfer,transferir,تحويل
home Upper,home Upper,casa superior,المنزل العلوي
exchange,exchange,intercambio,تبادل
request,request,pedido,طلب
recent Transaction,recent Transaction,transacción reciente,المعاملة الأخيرة
myInvoice,myInvoice,mi factura,myInvoice
two FA Security,two FA Security,dos FA Seguridad,اثنان من أمن الاتحاد الإنجليزي
changePassword,changePassword,cambiar la contraseña,تغيير كلمة المرور
privacy AndPolicy,privacy AndPolicy,privacidad y política,الخصوصية والسياسة
aboutUs,aboutUs,sobre nosotros,معلومات عنا
signOut,signOut,desconectar,خروج
Amount,Amount,Cantidad,كمية
preview Screen,preview Screen,Pantalla de vista previa,شاشة المعاينة
preview,preview,avance,معاينة
total Fees And Charges,total Fees And Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
confirm,confirm,confirmar,يتأكد
from,from,de,من
from Slash,from Slash,de barra,من القطع
to,to,a,ل
Remarks,Remarks,Observaciones,ملاحظات
share,share,compartir,يشارك
Available Balance,available Balance,Saldo disponible,الرصيد المتوفر
receiver,receiver,receptor,المتلقي
profile Label,profile Label,etiqueta de perfil,تسمية الملف الشخصي
full Name,full Name,nombre completo,الاسم الكامل
Country,Country,País,دولة
mobile Number,mobile Number,número de teléfono móvil,رقم الهاتف المحمول
state,state,estado,ولاية
city,city,ciudad,مدينة
zipCode,zipCode,código postal,الرمز البريدي
update,update,actualizar,تحديث
paid,paid,pagado,مدفوع
sent,sent,enviado,مرسل
unPaid,unPaid,no pagado,غير مدفوعة الأجر
invoice Number,invoice Number,Número de factura,رقم الفاتورة
invoice Date,invoice Date,fecha de la factura,تاريخ الفاتورة
currency,currency,divisa,عملة
pickGoods,pickGoods,recogerbienes,PickGoods
trick Goods,trick Goods,truco productos,السلع خدعة
form,form,forma,استمارة
total Bill,total Bill,cuenta total,إجمالي الفاتورة
create Invoice,create Invoice,crear factura,إنشاء فاتورة
invoice To,invoice To,facturar a,فاتورة إلى
billing Address,billing Address,Dirección de Envio,عنوان وصول الفواتير
notes,notes,notas,ملحوظات
item Details,item Details,detalles del artículo,تفاصيل العنصر
client Name,client Name,nombre del cliente,اسم العميل
addNew,addNew,agregarNuevo,اضف جديد
item Name,item Name,nombre del árticulo,اسم العنصر
voucher,voucher,vale,فاتورة
used,used,usado,مستخدم
not Used,not Used,no utilizado,غير مستعمل
Name,Name,Nombre,اسم
Email,Email,Correo electrónico,بريد إلكتروني
fees And Charge,fees And Charge,honorarios y cargo,الرسوم والتكاليف
code,code,código,شفرة
create Voucher,create Voucher,crear vale,إنشاء قسيمة
addMoney  Log,addMoney  Log,registro de addMoney,سجل AddMoney
money Out Log,money Out Log,registro de salida de dinero,سجل خروج الأموال
exchange Log,exchange Log,registro de intercambio,سجل التبادل
request Log,request Log,solicitar registro,سجل الطلب
back To Home,back To Home,de vuelta a casa,العودة إلى المنزل
enable 2fa Security,enable 2fa Security,habilitar la seguridad 2fa,تمكين 2fa الأمن
send Verification Code,send Verification Code,Envíe el código de verificación,إرسال رمز التحقق
individual,individual,individual,فردي
business,business,negocio,عمل
middle Name,middle Name,segundo nombre,الاسم الأوسط
postal Code,postal Code,Código Postal,رمز بريدي
company Name,company Name,nombre de empresa,اسم الشركة
gender,gender,género,جنس
date Of Birth,date Of Birth,fecha de nacimiento,تاريخ الميلاد
nationality,nationality,nacionalidad,جنسية
my Receipt,my Receipt,mi recibo,إيصالي
total Exchanged Amount,total Exchanged Amount,Monto total intercambiado,إجمالي المبلغ المتبادل
requested Amount,requested Amount,monto requerido,الكمية المطلوبة
on Board Title,on Board Title,en el título del tablero,على عنوان اللوحة
on Board Description,on Board Description,Descripción a bordo,على متن الوصف
welcome Text,welcome Text,texto de bienvenida,نص الترحيب
welcome Subtitle Text,welcome Subtitle Text,Bienvenido Texto del subtítulo,نرحب بنص الترجمة
sign In Subtitle,sign In Subtitle,Iniciar sesión Subtítulo,تسجيل الدخول العنوان الفرعي
forgot Password Secondary,forgot Password Secondary,Olvidé mi contraseña secundaria,نسيت كلمة المرور الثانوية
do Not Have An Account,do Not Have An Account,No tiene una cuenta,لا تملك حساب
Enter Your Email,Enter Your Email,Introduce tu correo electrónico,أدخل بريدك الإلكتروني
verification Code,verification Code,código de verificación,رمز التحقق
enter Verification Code Text One,enter Verification Code Text One,ingrese el código de verificación Texto uno,أدخل نص رمز التحقق رقم واحد
google Code Here,google Code Here,Código de Google aquí,كود جوجل هنا
resend Code,resend Code,reenviar codigo,أعد إرسال الرمز
did Not Get Code,did Not Get Code,No obtuve el código,لم تحصل على الرمز
reset Password Success Text,reset Password Success Text,restablecer contraseña Texto de éxito,إعادة تعيين نص نجاح كلمة المرور
enter New Password,enter New Password,Introduzca nueva contraseña,أدخل كلمة المرور الجديدة
enter Confirm Password,enter Confirm Password,ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
go To Sign In,go To Sign In,ir a iniciar sesión,انتقل إلى تسجيل الدخول
sign Up Subtitle,sign Up Subtitle,Regístrate Subtítulo,تسجيل العنوان الفرعي
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
already Have An Account,already Have An Account,Ya tienes una cuenta,هل لديك حساب
agreed With Terms,agreed With Terms,acordado con los términos,متفق عليه مع الشروط
terms,terms,términos,شروط
agree With,agree With,de acuerdo con,اتفق مع
sign Up Success Text,sign Up Success Text,Registrarse Texto de Éxito,الاشتراك نص النجاح
my Invest,my Invest,mi inversión,استثماري
profit Log,profit Log,registro de ganancias,سجل الربح
Your KYC information is verified,Your KYC information is verified,Su información KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Settings,Settings,Ajustes,إعدادات
users Name,users Name,Nombre de usuarios,اسم المستخدمين
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
change Language,change Language,cambiar idioma,تغيير اللغة
delete Account,delete Account,borrar cuenta,حذف الحساب
iD Type,iD Type,tipo de identificación,نوع الهوية
select Id Type,select Id Type,seleccione tipo de identificación,حدد نوع المعرف
enable Two FA Security,enable Two FA Security,habilitar la seguridad de dos FA,تمكين اثنين من الأمن FA
enable Two FA Security Subtitle,enable Two FA Security Subtitle,habilitar dos subtítulos de seguridad FA,تمكين اثنين من الترجمة الأمنية FA
invest Plan,invest Plan,plan de inversión,خطة الاستثمار
Add Money,Add Money,Agregar dinero,إضافة المال
money Transfer,money Transfer,transferencia de dinero,تحويل المال
uSD,uSD,Dólar estadounidense,دولار أمريكي
limit,limit,límite,حد
rate,rate,tasa,معدل
add Money Congratulation Subtitle,add Money Congratulation Subtitle,agregar subtítulo de felicitación de dinero,إضافة العنوان الفرعي تهنئة المال
amount Information,amount Information,cantidad información,معلومات المبلغ
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
youWill Get,youWill Get,conseguirás,ستحصل
charges,charges,cargos,رسوم
money Out Congratulation Subtitle,money Out Congratulation Subtitle,Subtítulo de felicitación de salida de dinero,المال خارج تهنئة الترجمة
enter Sending Amount,enter Sending Amount,ingrese el monto del envío,أدخل مبلغ الإرسال
receiver Email Address,receiver Email Address,dirección de correo electrónico del destinatario,عنوان البريد الإلكتروني للمتلقي
receiver Information,receiver Information,información del receptor,معلومات استقبال
enter Receiver Email Address,enter Receiver Email Address,ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم
profile update,profile update,actualización de perfil,تحديث الملف الشخصي
cornel,cornel,cornejo,كورنيل
ari chart,ari chart,gráfico de ari,مخطط آري
phone Number,phone Number,número de teléfono,رقم التليفون
enter City,enter City,entrar ciudad,أدخل المدينة
enter State,enter State,ingresar al estado,إدخال الدولة
enter Address,enter Address,ingresa la direccion,أدخل العنوان
enter ZipCode,enter ZipCode,Introduzca código postal,أدخل الرمز البريدي
update Profile,update Profile,actualización del perfil,تحديث الملف
choose Plan,choose Plan,elegir plan,اختر الخطة
investment,investment,inversión,استثمار
proceed,proceed,proceder,يتابع
no,no,No,لا
yes,yes,Sí,نعم
investment Amount,investment Amount,monto de la inversión,مبلغ الاستثمار
enter Investment Amount,enter Investment Amount,ingrese el monto de la inversión,أدخل مبلغ الاستثمار
term And Condition,term And Condition,término y condición,الأحكام والشروط
goto My Invest,goto My Invest,ir a Mi Inversión,انتقل إلى استثماري
my Invest Congratulation,my Invest Congratulation,mi felicitación de inversión,بلدي الاستثمار تهنئة
accept Terms,accept Terms,aceptar los terminos,قبول الشروط
do YouSign Out,do YouSign Out,¿Cerrar sesión?,هل قمت بتسجيل الخروج
sign Out Alert,sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج
maximum Invest,maximum Invest,inversión máxima,الحد الأقصى للاستثمار
fixed Profit,fixed Profit,beneficio fijo,الربح الثابت
percentage Profit,percentage Profit,porcentaje de beneficio,نسبة الربح
minimum Profit,minimum Profit,beneficio mínimo,الحد الأدنى للربح
profit Return Type,profit Return Type,Tipo de retorno de ganancias,نوع عائد الربح
just Click To Try This,just Click To Try This,simplemente haga clic para probar esto,فقط انقر لتجربة هذا
duration,duration,duración,مدة
profit Return,profit Return,retorno de ganancias,عائد الربح
days,days,días,أيام
profit,profit,ganancia,ربح
verified,verified,verificado,تم التحقق
updateKYC,updateKYC,actualizarKYC,updateKYC
empty Status,empty Status,Estado vacío,حالة فارغة
paypal,paypal,paypal,باي بال
coinGate,coinGate,puerta de monedas,com.coinGate
manual Input,manual Input,entrada manual,إدخال يدوي
please Follow The Limit,please Follow The Limit,por favor sigue el límite,يرجى اتباع الحد
evidence Note,evidence Note,evidencia nota,ملاحظة الأدلة
image Path Required,image Path Required,imagen Ruta requerida,مسار الصورة مطلوب
no Wallet,no Wallet,sin billetera,لا المحفظة
alert,alert,alerta,يُحذًِر
success Snack,success Snack,merienda de éxito,وجبة خفيفة النجاح
dismiss,dismiss,despedir,رفض
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
Subscribers,Subscribers,Suscriptores,مشتركين
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Message,Message,Mensaje,رسالة
Investment Plan,Investment Plan,Plan de inversión,الخطة الاستثمارية
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال
Money Transfer Logs,Money Transfer Logs,Registros de transferencia de dinero,سجلات تحويل الأموال
Invest Profit Logs,Invest Profit Logs,Registros de ganancias de inversión,سجلات أرباح الاستثمار
User Care,User Care,Atención al usuario,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المشرف
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Default,Default,Por defecto,تقصير
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات
Languages,Languages,Idiomas,اللغات
Money Out Settings,Money Out Settings,Configuración de retiro de dinero,إعدادات إخراج الأموال
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Banner Section,Banner Section,Sección de pancartas,قسم البانر
Brand Section,Brand Section,Sección de Marca,قسم العلامات التجارية
About Us Section,About Us Section,Sección Acerca de nosotros,قسم عنا
Services Section,Services Section,Sección de Servicios,قسم الخدمات
Feature Section,Feature Section,Sección de funciones,قسم الميزات
Clients Feedback,Clients Feedback,Comentarios de los clientes,ملاحظات العملاء
Announcements,Announcements,Anuncios,الإعلانات
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل
About Page Section,About Page Section,Acerca de la sección de página,حول قسم الصفحة
Contact US Section,Contact US Section,Contáctenos Sección EE.UU.,اتصل بقسم الولايات المتحدة
Footer Section,Footer Section,Sección de pie de página,قسم التذييل
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Extensions,Extensions,Extensiones,ملحقات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Paid By,Paid By,Pagado por,المدفوعة بواسطة
Money Out,Money Out,Salida de dinero,لم يبقى اي من المال
Notification,Notification,Notificación,إشعار
Push Notification,Push Notification,Notificación de inserción,دفع الإخطار
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات
Server Info,Server Info,Información del servidor,معلومات الخادم
Created By,Created By,Creado por,انشأ من قبل
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Total Add Money Request,Total Add Money Request,Solicitud de agregar dinero total,إجمالي طلب إضافة الأموال
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال
Money Out Request,Money Out Request,Solicitud de retiro de dinero,طلب صرف الأموال
Money Out Balance,Money Out Balance,Saldo de salida de dinero,رصيد الأموال الخارجة
User Active Tickets,User Active Tickets,Entradas activas de usuario,تذاكر المستخدم النشطة
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Total User Invest,Total User Invest,Inversión total del usuario,إجمالي استثمار المستخدم
Users Total Profit,Users Total Profit,Beneficio total de los usuarios,إجمالي الربح للمستخدمين
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا
Revenue Chart,Revenue Chart,Gráfico de ingresos,مخطط الإيرادات
Yearly Investment Analytics,Yearly Investment Analytics,Análisis de inversión anual,تحليلات الاستثمار السنوية
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم
Growth,Growth,Crecimiento,نمو
Latest Add Money,Latest Add Money,Última adición de dinero,أحدث إضافة المال
Login,Login,Acceso,تسجيل الدخول
Announcement,Announcement,Anuncio,إعلان
Plan,Plan,Plan,يخطط
About,About,Acerca de,عن
Stay connected with us for regular updates,Stay connected with us for regular updates,Manténgase conectado con nosotros para recibir actualizaciones periódicas,ابق على اتصال معنا للحصول على تحديثات منتظمة
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
Contact Us,Contact Us,Contáctenos,اتصل بنا
Layout Mode,Layout Mode,Modo de diseño,وضع التخطيط
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي
Dark Mode,Dark Mode,Modo oscuro,الوضع المظلم
Light Mode,Light Mode,Modo de luz,وضع الضوء
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Min Sidebar Color,Min Sidebar Color,Color mínimo de la barra lateral,الحد الأدنى للون الشريط الجانبي
Direction,Direction,Dirección,اتجاه
RTL Support,RTL Support,Soporte RTL,دعم RTL
total Refers,total Refers,total de referencias,إجمالي المراجع
total Invested,total Invested,total invertido,إجمالي الاستثمار
current Position,current Position,posición actual,الموقف الحالى
refer Code,refer Code,consultar código,الرجوع رمز
refer Link,refer Link,referir enlace,الرجوع الرابط
referral User,referral User,Usuario de referencia,مستخدم الإحالة
requirement,requirement,requisito,متطلبات
refer,refer,referirse,يشير إلى
invest,invest,invertir,يستثمر
commission,commission,comisión,عمولة
per Refer,per Refer,por referencia,لكل مرجع
account Label,account Label,etiqueta de cuenta,تسمية الحساب
my Status,my Status,mi estado,حالتي
view All,view All,ver todo,عرض الكل
refer Friend,refer Friend,referir amigo,الرجوع صديق
refer Friends,refer Friends,referir amigos,الرجوع الأصدقاء
copy Referral Code,copy Referral Code,copiar código de referencia,نسخ رمز الإحالة
Explain Request Purposes Here,Explain Request Purposes Here,Explique los propósitos de la solicitud aquí,اشرح أغراض الطلب هنا
text Copied To Clipboard,text Copied To Clipboard,texto copiado al portapapeles,تم نسخ النص إلى الحافظة
optionals,optionals,opcionales,خيارات
Balance Type,Balance Type,Tipo de saldo,نوع الرصيد
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Write Here,Write Here,Escribe aquí,اكتب هنا
Don't Have An Account,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
appLAppName,Rise Up,Monedero,واليتيوم
appLAppVersion,1.2.0,1.2.0,1.2.0
appLNext,NEXT,PRÓXIMO,التالي
appLEnter,Enter,Ingresar,يدخل
appLCancel,Cancel,Cancelar,يلغي
appLSignIn,SIGN IN,INICIAR SESIÓN,تسجيل الدخول
appLSignUp,SIGN UP,INSCRIBIRSE,اشتراك
appLGetStarted,GET STARTED,EMPEZAR,البدء
appLSkip,Skip,Saltar,يتخطى
appLConTinue,CONTINUE,CONTINUAR,يكمل
appLSubmit,Submit,Entregar,يُقدِّم
appLOkay,Okay,Bueno,تمام
appLLetsGetStarted,LETS GET STARTED,EMPECEMOS,هيا بنا نبدأ
appLPleaseFillOutTheField,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل
appLWelcomeTitle,Welcome to Rise Up,Bienvenido a Rise Up,مرحبا بكم في واليتيوم
appLSignInTitle,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك
appLSignInDescription,Small Steps to A Better Future,Pequeños pasos hacia un futuro mejor,خطوات صغيرة لمستقبل أفضل
appLEmailOrUsername,Email / User Name,Correo electrónico / Nombre de usuario,البريد الإلكتروني / اسم المستخدم
appLPassword,Password,Contraseña,كلمة المرور
appLEnterPassword,Enter Password,Introducir la contraseña,أدخل كلمة المرور
appLForgotPassword,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
appLNewToRemesa,New to Rise Up?,¿Nuevo en Rise Up?,هل أنت جديد في Rise Up؟
appLForgotPasswordDescription,Please Enter Your Email to Reset Your Password,Por favor ingrese su correo electrónico para restablecer su contraseña,الرجاء إدخال بريدك الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك
appLPhoneNumber,Phone Number,Número de teléfono,رقم التليفون
appLForgotPasswordTitle,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
appLOtpVerification,OTP Verification,Verificación OTP,التحقق من OTP
appLEnterTheCodeSentTo,Enter the code sent to,Introduce el código enviado a,أدخل الرمز المرسل إليه
appLResend,OTP Verification,Verificación OTP,التحقق من OTP
appLResetPassword,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
appLResetPasswordDescription,"Your identity has been verified, Set your new Password","Su identidad ha sido verificada, establezca su nueva contraseña",تم التحقق من هويتك، قم بتعيين كلمة المرور الجديدة
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة
appLEnterNewPassword,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
appLEnterConfirmPassword,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
appLSignUpTitle,Create an Account,Crea una cuenta,إنشاء حساب
appLSignUpDescription,Small Steps to A Better Future,Pequeños pasos hacia un futuro mejor,خطوات صغيرة لمستقبل أفضل
appLFirstName,First Name,Nombre de pila,الاسم الأول
appLName,Name,Nombre,اسم
appLLastName,Last Name,Apellido,اسم العائلة
appLEnterFullName,Enter Name,Ingrese su nombre,أدخل الاسم
appLEmail,Email,Correo electrónico,بريد إلكتروني
appLEnterEmail,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
appLSelectCountry,Select Country,Seleccionar país,حدد الدولة
appLTerms,By clicking to Sign Up you need to agree with our all,"Al hacer clic para registrarse, debe aceptar todas nuestras",من خلال النقر للتسجيل، يجب عليك الموافقة على كل ما لدينا
appLPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
appLAlreadyHaveAcc,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب؟
appLEmailVerification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
appLCongratulations,Congratulations,Felicidades,تهانينا
appLSignUpCongDes,Your account has been successfully verified,Su cuenta ha sido verificada exitosamente,لقد تم التحقق من حسابك بنجاح
appLHome,Home,Hogar,بيت
appLDashboard,Dashboard,Panel,لوحة القيادة
appLCurrentBalance,Current Balance,Saldo actual,الرصيد الحالي
appLDeposit,Deposit,Depósito,إيداع
appLWithdraw,Withdraw,Retirar,ينسحب
appLSend,Send,Enviar,يرسل
appLRequest,Request,Pedido,طلب
appLExchange,Exchange,Intercambio,تبادل
appLExchangeMoneyLog,Exchange Money Log,Registro de dinero de cambio,سجل تبادل الأموال
appLMoneyDeposit,Money Deposit,Depósito de dinero,إيداع الأموال
appLAddMoney,Add Money,Agregar dinero,إضافة المال
appLWallet,Wallet,Billetera,محفظة
appLNotification,Notification,Notificación,إشعار
appLProfile,Profile,Perfil,حساب تعريفي
appLUserProfileName,Kersuee Limien,Kersuee Limien,كيرسوي ليمين
appLUserId,@,@,@
appLUserIdNUmber,Username,Nombre de usuario,اسم المستخدم
appLEditProfile,Edit Profile,Editar perfil,تعديل الملف الشخصي
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور
appLTwoFA,2FA Security,Seguridad 2FA,2FA الأمن
appLTwoFAOtp,2FA OTP,OTP 2FA,2FA مكتب المدعي العام
appLEnterOTPHere,Enter OTP Here,Ingrese OTP aquí,أدخل كلمة المرور المؤقتة هنا
appLDeleteAccount,Delete Account,Borrar cuenta,حذف الحساب
appLDeleteAccountDesc,Do You Want to Delete Your Account?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟
appLDeleteRecipient,Delete Recipient,Eliminar destinatario,حذف المستلم
appLDeleteRecipientDesc,Do You Want to Delete This Recipient?,¿Quiere eliminar este destinatario?,هل تريد حذف هذا المستلم؟
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة
appLDateOfBirth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد
appLCity,City,Ciudad,مدينة
appLState,State,Estado,ولاية
appLAddress,Address,DIRECCIÓN,عنوان
appLZipCode,ZIP Code,Código postal,الرمز البريدي
appLSendMoney,Send Money,Enviar dinero,إرسال الأموال
appLYouSend,You Send,Usted envía,انت ارسل
appLRecipientGets,Recipient Gets,El destinatario obtiene,يحصل المتلقي
appLExchangeRate,Exchange Rate,Tipo de cambio,سعر الصرف
appLTotalPayable,Total Payable,Total a pagar,مجموع المستحق الدفع
appLSendMoneyDetails,Send Money Details,Enviar detalles de dinero,إرسال تفاصيل الأموال
appLAddMoneyDetails,Add Money Details,Agregar detalles de dinero,أضف تفاصيل الأموال
appLRemarks,Remarks,Observaciones,ملاحظات
appLOptional,Optional,Opcional,خياري
appLDescription,Description,Descripción,وصف
appLPaymentDescription,Explain Request Purpose Here...,Explique el propósito de la solicitud aquí...,شرح غرض الطلب هنا...
appLConfirmDetails,Confirm Details,Confirmar detalles,تأكيد التفاصيل
appLSendingAmount,Sending Amount,Monto de envío,إرسال المبلغ
appLSenderAmount,Sender Amount,Importe del remitente,مبلغ المرسل
appLFeesJust,Fees,Honorarios,مصاريف
appLYourRecipientWillGet,Your Recipient Will Get,Su destinatario obtendrá,سوف يحصل المستلم الخاص بك
appLSuccess,Success!,¡Éxito!,نجاح!
appLRequestMoney,Request Money,Pedir dinero,طلب المال
appLExchangeMoney,Exchange Money,Cambio de moneda,الصرافة
appLDone,Done,Hecho,منتهي
appLRequestMoneyPreview,Request Money Preview,Solicitar vista previa de dinero,طلب معاينة الأموال
appLPayerName,Payer Name,Nombre del pagador,اسم الدافع
appLEnterPayerName,Enter Payer Name,Ingrese el nombre del pagador,أدخل اسم الدافع
appLPaymentDueBy,Payment Due By,Pago vencido por,مستحقة الدفع بواسطة
appLAmount,Amount,Cantidad,كمية
appLEnterAmount,Enter Amount,Ingrese el monto,أدخل المبلغ
appLRequestAmount,Request Amount,Cantidad de la solicitud,مبلغ الطلب
appLUsername,User Name,Nombre de usuario,اسم المستخدم
appLCountry,Country,País,دولة
appLRequestedAmount,Requested Amount,Monto requerido,الكمية المطلوبة
appLTotal,Total,Total,المجموع
Action,Action,Acción,فعل
appLTotalCharge,Total Charge,Carga total,القيمة الاجمالية
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع او السداد
appLAccountHolderName,Account Holder Name,nombre del titular de la cuenta,اسم صاحب الحساب
appLAccountNumber,Account Number,Número de cuenta,رقم حساب
appLDepositAmount,Deposit Amount,Cantidad del depósito,قيمة الايداع
appLDepositMoneyPreview,Deposit Money Preview,Vista previa del depósito de dinero,معاينة إيداع الأموال
appLAddMoneySuccessDescription,Youve successfully Add Money,Has agregado dinero exitosamente,لقد قمت بإضافة الأموال بنجاح
appLWithdrawMoney,Withdraw Money,Retirar dinero,سحب الأموال
appLWithdrawMoneyLog,Withdraw Money Log,Registro de retiro de dinero,سحب سجل الأموال
appLWithdrawMoneyDetails,Withdraw Money Details,Detalles de retiro de dinero,سحب تفاصيل الأموال
appLAvailableBalance,Available Balance,Saldo disponible,الرصيد المتوفر
appLLimit,Limit,Límite,حد
appLCharge,Charge,Cargar,تكلفة
appLWithdrawTo,Withdraw to,Retraerse a,الانسحاب إلى
appLAmountToWithdraw,Amount to Withdraw,Cantidad a retirar,مبلغ للسحب
appLWithdrawAmount,Withdraw Amount,Retirar cantidad,سحب المبلغ
appLWithdrawMoneyReview,Withdraw Money Review,Revisión de retiro de dinero,مراجعة سحب الأموال
appLTransactionHistory,Transaction History,Historial de transacciones,تاريخ المعاملات
